car_name,model,odometer,miles,gallons,price,date,dayofyear,day,month,year,mpg,l100km,cost,recent,timebetweenfuelups,miles1
2008 Nissan Altima,Nissan Altima,43022,340,14.44,3.1,2013-01-09,9,9,1,2013,23.545706371191137,9.977552736445727,44.764,Over 6 months ago,34,340
2011 Nissan Quest 3.5SL,Nissan Quest,13649,181,9.76,3.08,2013-01-12,12,12,1,2013,18.545081967213115,12.667969192628481,30.0608,Over 6 months ago,6,181
2011 Nissan Quest 3.5SL,Nissan Quest,13949,300,15.41,3.07,2013-01-22,22,22,1,2013,19.46787800129786,12.067495338719702,47.308699999999995,Over 6 months ago,10,300
2008 Nissan Altima,Nissan Altima,43319,297,12.88,3.11,2013-02-01,32,1,2,2013,23.059006211180122,10.18814622295045,40.0568,Over 6 months ago,23,297
2011 Nissan Quest 3.5SL,Nissan Quest,14207,258,13.27,3.16,2013-02-01,32,1,2,2013,19.44235116804823,12.0833393556593,41.9332,Over 6 months ago,10,258
2011 Nissan Quest 3.5SL,Nissan Quest,14541,334,16.88,3.25,2013-02-10,41,10,2,2013,19.786729857819907,11.87303453999397,54.86,Over 6 months ago,9,334
2011 Nissan Quest 3.5SL,Nissan Quest,14768,227,11.55,3.27,2013-02-17,48,17,2,2013,19.653679653679653,11.953411838146112,37.7685,Over 6 months ago,7,227
2011 Nissan Quest 3.5SL,Nissan Quest,14925,157,8.56,3.43,2013-02-23,54,23,2,2013,18.3411214953271,12.808841983587545,29.360800000000005,Over 6 months ago,6,157
2008 Nissan Altima,Nissan Altima,43651,332,14.61,3.46,2013-02-27,58,27,2,2013,22.72416153319644,10.338270421649307,50.550599999999996,Over 6 months ago,26,332
2011 Nissan Quest 3.5SL,Nissan Quest,15265,340,17.62,3.4,2013-03-05,64,5,3,2013,19.296254256526673,12.174825430482946,59.908,Over 6 months ago,10,340
2011 Nissan Quest 3.5SL,Nissan Quest,15369,104,4.84,3.38,2013-03-09,68,9,3,2013,21.487603305785125,10.933212219725581,16.359199999999998,Over 6 months ago,4,104
2011 Nissan Quest 3.5SL,Nissan Quest,15699,330,15.55,3.5,2013-03-11,70,11,3,2013,21.221864951768488,11.070116955760213,54.425000000000004,Over 6 months ago,2,330
2011 Nissan Quest 3.5SL,Nissan Quest,15975,276,13.15,3.38,2013-03-14,73,14,3,2013,20.988593155893536,11.193152646796552,44.447,Over 6 months ago,3,276
2008 Nissan Altima,Nissan Altima,43985,334,13.44,3.37,2013-03-15,74,15,3,2013,24.851190476190478,9.453411387293777,45.2928,Over 6 months ago,16,334
